url,paragraph_1,paragraph_2,output
https://www.consultant.ru/cons/cgi/online.cgi?req=doc&base=LAW&n=493279&diff=502632&from=502632-1940-diff&rnd=l8AgRg#RHZ5ZoUAxpG4gBJQ1,"Контроль за выполнением коллективного договора, соглашения осуществляется сторонами социального партнерства, их представителями, соответствующими органами по труду.
При проведении указанного контроля представители сторон обязаны предоставлять друг другу, а также соответствующим органам по труду необходимую для этого информацию не позднее одного месяца со дня получения соответствующего запроса.","Контроль за выполнением коллективного договора, соглашения осуществляется сторонами социального партнерства, их представителями, соответствующими органами по труду. При проведении указанного в части первой настоящей статьи контроля представители сторон обязаны предоставлять друг другу, а также соответствующим органам по труду необходимую для этого информацию не позднее одного месяца со дня получения соответствующего запроса. Стороны осуществляют указанный контроль в порядке, установленном сторонами. Такой порядок может быть также установлен коллективным договором, соглашением.
Контроль за соблюдением работодателем обязательств перед работниками по соглашению в части обязанностей работодателя, установленных в соответствии с частями первой, третьей и четвертой настоящего Кодекса, осуществляется также в рамках федерального государственного контроля (надзора) за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права.","[{'span_1': 'Контроль за выполнением коллективного договора, соглашения осуществляется сторонами социального партнерства, их представителями, соответствующими органами по труду.', 'span_2': 'Контроль за выполнением коллективного договора, соглашения осуществляется сторонами социального партнерства, их представителями, соответствующими органами по труду.', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}, {'span_1': 'При проведении указанного контроля представители сторон обязаны предоставлять друг другу, а также соответствующим органам по труду необходимую для этого информацию не позднее одного месяца со дня получения соответствующего запроса.', 'span_2': 'При проведении указанного в части первой настоящей статьи контроля представители сторон обязаны предоставлять друг другу, а также соответствующим органам по труду необходимую для этого информацию не позднее одного месяца со дня получения соответствующего запроса.', 'reasoning': 'Второй спан уточняет, что контроль упоминается в части первой настоящей статьи.', 'label': 'contradiction'}, {'span_1': '', 'span_2': 'Стороны осуществляют указанный контроль в порядке, установленном сторонами. Такой порядок может быть также установлен коллективным договором, соглашением.', 'reasoning': 'Второй спан отсутствует в первом параграфе.', 'label': 'addition', 'anchor': 'Контроль за выполнением коллективного договора, соглашения осуществляется сторонами социального партнерства, их представителями, соответствующими органами по труду.'}, {'span_1': '', 'span_2': 'Контроль за соблюдением работодателем обязательств перед работниками по соглашению в части обязанностей работодателя, установленных в соответствии с частями первой, третьей и четвертой настоящего Кодекса, осуществляется также в рамках федерального государственного контроля (надзора) за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права.', 'reasoning': 'Второй спан отсутствует в первом параграфе.', 'label': 'addition', 'anchor': 'Контроль за выполнением коллективного договора, соглашения осуществляется сторонами социального партнерства, их представителями, соответствующими органами по труду.'}]"
https://www.consultant.ru/cons/cgi/online.cgi?req=doc&base=LAW&n=493279&diff=502632&from=502632-1940-diff&rnd=l8AgRg#RHZ5ZoUAxpG4gBJQ1,"Контроль за выполнением коллективного договора, соглашения осуществляется сторонами социального партнерства, их представителями, соответствующими органами по труду.
При проведении указанного контроля представители сторон обязаны предоставлять друг другу, а также соответствующим органам по труду необходимую для этого информацию не позднее одного месяца со дня получения соответствующего запроса.","Контроль за выполнением коллективного договора, соглашения осуществляется сторонами социального партнерства, их представителями, соответствующими органами по труду.
При проведении указанного в части первой настоящей статьи контроля представители сторон обязаны предоставлять друг другу, а также соответствующим органам по труду необходимую для этого информацию не позднее одного месяца со дня получения соответствующего запроса. Стороны осуществляют указанный контроль в порядке, установленном сторонами. Такой порядок может быть также установлен коллективным договором, соглашением.
Контроль за соблюдением работодателем обязательств перед работниками по соглашению в части обязанностей работодателя, установленных в соответствии с частями первой, третьей и четвертой настоящего Кодекса, осуществляется также в рамках федерального государственного контроля (надзора) за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права.","[{'span_1': 'Контроль за выполнением коллективного договора, соглашения осуществляется сторонами социального партнерства, их представителями, соответствующими органами по труду.', 'span_2': 'Контроль за выполнением коллективного договора, соглашения осуществляется сторонами социального партнерства, их представителями, соответствующими органами по труду.', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}, {'span_1': 'При проведении указанного контроля представители сторон обязаны предоставлять друг другу, а также соответствующим органам по труду необходимую для этого информацию не позднее одного месяца со дня получения соответствующего запроса.', 'span_2': 'При проведении указанного в части первой настоящей статьи контроля представители сторон обязаны предоставлять друг другу, а также соответствующим органам по труду необходимую для этого информацию не позднее одного месяца со дня получения соответствующего запроса.', 'reasoning': 'Спаны практически идентичны, только второй спан уточняет, что контроль указан в части первой настоящей статьи.', 'label': 'addition', 'anchor': 'При проведении указанного контроля представители сторон обязаны предоставлять друг другу, а также соответствующим органам по труду необходимую для этого информацию не позднее одного месяца со дня получения соответствующего запроса.'}, {'span_1': '', 'span_2': 'Стороны осуществляют указанный контроль в порядке, установленном сторонами. Такой порядок может быть также установлен коллективным договором, соглашением.', 'reasoning': 'Второй спан отсутствует в первом параграфе.', 'label': 'addition', 'anchor': 'Контроль'}, {'span_1': '', 'span_2': 'Контроль за соблюдением работодателем обязательств перед работниками по соглашению в части обязанностей работодателя, установленных в соответствии с частями первой, третьей и четвертой настоящего Кодекса, осуществляется также в рамках федерального государственного контроля (надзора) за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права.', 'reasoning': 'Второй спан отсутствует в первом параграфе.', 'label': 'addition', 'anchor': 'Контроль'}]"
https://www.consultant.ru/cons/cgi/online.cgi?req=doc&base=LAW&n=493279&diff=502632&from=502632-1940-diff&rnd=l8AgRg#RHZ5ZoUAxpG4gBJQ1,"13.1) невыхода работника на работу по истечении трех месяцев после окончания прохождения им военной службы по мобилизации или военной службы по контракту, заключенному в соответствии с пунктом 7 статьи 38 Федерального закона от 28 марта 1998 года N 53-ФЗ ""О воинской обязанности и военной службе"", либо после окончания действия заключенного работником контракта о добровольном содействии в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации;","13.1) невыхода работника на работу по истечении трех месяцев после окончания прохождения им военной службы по мобилизации, службы в войсках национальной гвардии Российской Федерации по мобилизации или военной службы по контракту, заключенному в период мобилизации, в период военного положения или в военное время, либо после окончания действия заключенного работником контракта о добровольном содействии в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации;","[{'span_1': '13.1) невыхода работника на работу по истечении трех месяцев после окончания прохождения им военной службы по мобилизации', 'span_2': '13.1) невыхода работника на работу по истечении трех месяцев после окончания прохождения им военной службы по мобилизации', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}, {'span_1': '', 'span_2': 'службы в войсках национальной гвардии Российской Федерации по мобилизации', 'reasoning': 'Во втором тексте упоминается дополнительный вид службы, который отсутствует в первом тексте.', 'label': 'addition', 'anchor': 'военной службы по мобилизации'}, {'span_1': ', военной службы по контракту, заключенному в соответствии с пунктом 7 статьи 38 Федерального закона от 28 марта 1998 года N 53-ФЗ ""О воинской обязанности и военной службе"",', 'span_2': ', военной службы по контракту, заключенному в период мобилизации, в период военного положения или в военное время,', 'reasoning': 'Первый спан ссылается на конкретный пункт закона, а второй уточняет периоды заключения контракта.', 'label': 'contradiction'}, {'span_1': 'либо после окончания действия заключенного работником контракта о добровольном содействии в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации;', 'span_2': 'либо после окончания действия заключенного работником контракта о добровольном содействии в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации;', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}]"
https://www.consultant.ru/cons/cgi/online.cgi?req=doc&base=LAW&n=493279&diff=502632&from=502632-1940-diff&rnd=l8AgRg#RHZ5ZoUAxpG4gBJQ1,1) призыв работника на военную службу (за исключением призыва работника на военную службу по мобилизации) или направление его на заменяющую ее альтернативную гражданскую службу;,1) призыв работника на военную службу (за исключением призыва работника на военную службу по мобилизации или направления на службу в войска национальной гвардии Российской Федерации по мобилизации) или направление его на заменяющую ее альтернативную гражданскую службу;,"[{'span_1': '1) призыв работника на военную службу ', 'span_2': '1) призыв работника на военную службу ', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}, {'span_1': '(за исключением призыва работника на военную службу по мобилизации) ', 'span_2': '(за исключением призыва работника на военную службу по мобилизации или направления на службу в войска национальной гвардии Российской Федерации по мобилизации) ', 'reasoning': 'Во втором спане добавлена информация о направлении на службу в войска национальной гвардии Российской Федерации.', 'label': 'addition', 'anchor': 'за исключением призыва работника на военную службу по мобилизации'}, {'span_1': 'или направление его на заменяющую ее альтернативную гражданскую службу;', 'span_2': 'или направление его на заменяющую ее альтернативную гражданскую службу;', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}]"
https://www.consultant.ru/cons/cgi/online.cgi?req=doc&base=LAW&n=493279&diff=502632&from=502632-1940-diff&rnd=l8AgRg#RHZ5ZoUAxpG4gBJQ1,"7) наступление чрезвычайных обстоятельств, препятствующих продолжению трудовых отношений (военные действия, катастрофа, стихийное бедствие, крупная авария, эпидемия и другие чрезвычайные обстоятельства), если данное обстоятельство признано решением Правительства Российской Федерации или органа государственной власти соответствующего субъекта Российской Федерации, а также призыв работодателя - физического лица или работодателя, являющегося единственным учредителем (участником) юридического лица, одновременно обладающего полномочиями единоличного исполнительного органа этого юридического лица, на военную службу по мобилизации, объявленной Президентом Российской Федерации (в случае, если такой работодатель на период прохождения им военной службы по мобилизации не уполномочил другое лицо на осуществление своих прав и исполнение своих обязанностей в качестве работодателя);","7) наступление чрезвычайных обстоятельств, препятствующих продолжению трудовых отношений (военные действия, катастрофа, стихийное бедствие, крупная авария, эпидемия и другие чрезвычайные обстоятельства), если данное обстоятельство признано решением Правительства Российской Федерации или органа государственной власти соответствующего субъекта Российской Федерации, а также призыв работодателя - физического лица или работодателя, являющегося единственным учредителем (участником) юридического лица, одновременно обладающего полномочиями единоличного исполнительного органа этого юридического лица, на военную службу по мобилизации, объявленной Президентом Российской Федерации, или направление на службу в войска национальной гвардии Российской Федерации по мобилизации, объявленной Президентом Российской Федерации (в случае, если такой работодатель на период прохождения им военной службы по мобилизации или службы в войсках национальной гвардии Российской Федерации по мобилизации не уполномочил другое лицо на осуществление своих прав и исполнение своих обязанностей в качестве работодателя);","[{'span_1': '7) наступление чрезвычайных обстоятельств, препятствующих продолжению трудовых отношений (военные действия, катастрофа, стихийное бедствие, крупная авария, эпидемия и другие чрезвычайные обстоятельства), если данное обстоятельство признано решением Правительства Российской Федерации или органа государственной власти соответствующего субъекта Российской Федерации,', 'span_2': '7) наступление чрезвычайных обстоятельств, препятствующих продолжению трудовых отношений (военные действия, катастрофа, стихийное бедствие, крупная авария, эпидемия и другие чрезвычайные обстоятельства), если данное обстоятельство признано решением Правительства Российской Федерации или органа государственной власти соответствующего субъекта Российской Федерации,', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}, {'span_1': 'а также призыв работодателя - физического лица или работодателя, являющегося единственным учредителем (участником) юридического лица, одновременно обладающего полномочиями единоличного исполнительного органа этого юридического лица, на военную службу по мобилизации, объявленной Президентом Российской Федерации', 'span_2': 'а также призыв работодателя - физического лица или работодателя, являющегося единственным учредителем (участником) юридического лица, одновременно обладающего полномочиями единоличного исполнительного органа этого юридического лица, на военную службу по мобилизации, объявленной Президентом Российской Федерации, или направление на службу в войска национальной гвардии Российской Федерации по мобилизации, объявленной Президентом Российской Федерации', 'reasoning': 'Во втором спане добавляется направление на службу в войска национальной гвардии Российской Федерации по мобилизации.', 'label': 'contradiction'}, {'span_1': '(в случае, если такой работодатель на период прохождения им военной службы по мобилизации не уполномочил другое лицо на осуществление своих прав и исполнение своих обязанностей в качестве работодателя);', 'span_2': '(в случае, если такой работодатель на период прохождения им военной службы по мобилизации или службы в войсках национальной гвардии Российской Федерации по мобилизации не уполномочил другое лицо на осуществление своих прав и исполнение своих обязанностей в качестве работодателя);', 'reasoning': 'Во второй параграф добавлен случай службы в войсках национальной гвардии Российской Федерации.', 'label': 'contradiction'}]"
https://www.consultant.ru/cons/cgi/online.cgi?req=doc&base=LAW&n=493279&diff=502632&from=502632-1940-diff&rnd=l8AgRg#RHZ5ZoUAxpG4gBJQ1,"Работодатель обязан на основании письменного заявления работника предоставить отпуск без сохранения заработной платы:
участникам Великой Отечественной войны - до 35 календарных дней в году;
работающим пенсионерам по старости (по возрасту) - до 14 календарных дней в году;
родителям и женам (мужьям) военнослужащих, сотрудников органов внутренних дел, федеральной противопожарной службы, таможенных органов, сотрудников учреждений и органов уголовно-исполнительной системы, органов принудительного исполнения, погибших или умерших вследствие ранения, контузии или увечья, полученных при исполнении обязанностей военной службы (службы), либо вследствие заболевания, связанного с прохождением военной службы (службы), - до 14 календарных дней в году;
работающим инвалидам - до 60 календарных дней в году;
работникам в случаях рождения ребенка, регистрации брака, смерти близких родственников - до пяти календарных дней;","Работодатель обязан на основании письменного заявления работника предоставить отпуск без сохранения заработной платы:
участникам Великой Отечественной войны - до 35 календарных дней в году;
работающим пенсионерам по старости (по возрасту) - до 14 календарных дней в году;
родителям, супругам и детям, в том числе совершеннолетним, военнослужащих, граждан, заключивших контракт о добровольном содействии в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации, сотрудников органов внутренних дел, федеральной противопожарной службы, таможенных органов, сотрудников учреждений и органов уголовно-исполнительной системы, органов принудительного исполнения, сотрудников, проходящих службу в войсках национальной гвардии Российской Федерации, погибших или умерших вследствие ранения, контузии или увечья, полученных при исполнении обязанностей военной службы (службы), обязанностей по контракту о добровольном содействии в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации, либо вследствие заболевания, связанного с прохождением военной службы (службы), исполнением обязанностей по контракту о добровольном содействии в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации, - до 14 календарных дней в году;
работающим инвалидам - до 60 календарных дней в году;","[{'span_1': 'Работодатель обязан на основании письменного заявления работника предоставить отпуск без сохранения заработной платы:', 'span_2': 'Работодатель обязан на основании письменного заявления работника предоставить отпуск без сохранения заработной платы:', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}, {'span_1': 'участникам Великой Отечественной войны - до 35 календарных дней в году;', 'span_2': 'участникам Великой Отечественной войны - до 35 календарных дней в году;', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}, {'span_1': 'работающим пенсионерам по старости (по возрасту) - до 14 календарных дней в году;', 'span_2': 'работающим пенсионерам по старости (по возрасту) - до 14 календарных дней в году;', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}, {'span_1': 'родителям и женам (мужьям) военнослужащих, сотрудников органов внутренних дел, федеральной противопожарной службы, таможенных органов, сотрудников учреждений и органов уголовно-исполнительной системы, органов принудительного исполнения, погибших или умерших вследствие ранения, контузии или увечья, полученных при исполнении обязанностей военной службы (службы), либо вследствие заболевания, связанного с прохождением военной службы (службы), - до 14 календарных дней в году;', 'span_2': 'родителям, супругам и детям, в том числе совершеннолетним, военнослужащих, граждан, заключивших контракт о добровольном содействии в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации, сотрудников органов внутренних дел, федеральной противопожарной службы, таможенных органов, сотрудников учреждений и органов уголовно-исполнительной системы, органов принудительного исполнения, сотрудников, проходящих службу в войсках национальной гвардии Российской Федерации, погибших или умерших вследствие ранения, контузии или увечья, полученных при исполнении обязанностей военной службы (службы), обязанностей по контракту о добровольном содействии в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации, либо вследствие заболевания, связанного с прохождением военной службы (службы), исполнением обязанностей по контракту о добровольном содействии в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации, - до 14 календарных дней в году;', 'reasoning': 'Второй спан включает дополнительную информацию о детях, в том числе совершеннолетних, гражданах, заключивших контракт о добровольном содействии, и сотрудниках, проходящих службу в войсках национальной гвардии РФ. Также упоминается исполнение обязанностей по контракту о добровольном содействии.', 'label': 'contradiction'}, {'span_1': 'работающим инвалидам - до 60 календарных дней в году;', 'span_2': 'работающим инвалидам - до 60 календарных дней в году;', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}]"
https://www.consultant.ru/cons/cgi/online.cgi?req=doc&base=LAW&n=493279&diff=502632&from=502632-1940-diff&rnd=l8AgRg#RHZ5ZoUAxpG4gBJQ1,"При равной производительности труда и квалификации предпочтение в оставлении на работе отдается: семейным - при наличии двух или более иждивенцев (нетрудоспособных членов семьи, находящихся на полном содержании работника или получающих от него помощь, которая является для них постоянным и основным источником средств к существованию); лицам, в семье которых нет других работников с самостоятельным заработком; работникам, получившим в период работы у данного работодателя трудовое увечье или профессиональное заболевание; инвалидам Великой Отечественной войны и инвалидам боевых действий по защите Отечества; работникам, повышающим свою квалификацию по направлению работодателя без отрыва от работы; родителю, имеющему ребенка в возрасте до восемнадцати лет, в случае, если другой родитель призван на военную службу по мобилизации или проходит военную службу по контракту, заключенному в соответствии с пунктом 7 статьи 38 Федерального закона от 28 марта 1998 года N 53-ФЗ ""О воинской обязанности и военной службе"", либо заключил контракт о добровольном содействии в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации.","При равной производительности труда и квалификации предпочтение в оставлении на работе отдается: семейным - при наличии двух или более иждивенцев (нетрудоспособных членов семьи, находящихся на полном содержании работника или получающих от него помощь, которая является для них постоянным и основным источником средств к существованию); лицам, в семье которых нет других работников с самостоятельным заработком; работникам, получившим в период работы у данного работодателя трудовое увечье или профессиональное заболевание; инвалидам Великой Отечественной войны и инвалидам боевых действий по защите Отечества; работникам, повышающим свою квалификацию по направлению работодателя без отрыва от работы; родителю, имеющему ребенка в возрасте до восемнадцати лет, в случае, если другой родитель призван на военную службу по мобилизации, направлен на службу в войска национальной гвардии Российской Федерации по мобилизации или заключил контракт о прохождении военной службы в период мобилизации, в период военного положения или в военное время либо заключил контракт о добровольном содействии в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации.","[{'span_1': 'При равной производительности труда и квалификации предпочтение в оставлении на работе отдается:', 'span_2': 'При равной производительности труда и квалификации предпочтение в оставлении на работе отдается:', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}, {'span_1': 'семейным - при наличии двух или более иждивенцев (нетрудоспособных членов семьи, находящихся на полном содержании работника или получающих от него помощь, которая является для них постоянным и основным источником средств к существованию);', 'span_2': 'семейным - при наличии двух или более иждивенцев (нетрудоспособных членов семьи, находящихся на полном содержании работника или получающих от него помощь, которая является для них постоянным и основным источником средств к существованию);', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}, {'span_1': 'лицам, в семье которых нет других работников с самостоятельным заработком;', 'span_2': 'лицам, в семье которых нет других работников с самостоятельным заработком;', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}, {'span_1': 'работникам, получившим в период работы у данного работодателя трудовое увечье или профессиональное заболевание;', 'span_2': 'работникам, получившим в период работы у данного работодателя трудовое увечье или профессиональное заболевание;', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}, {'span_1': 'инвалидам Великой Отечественной войны и инвалидам боевых действий по защите Отечества;', 'span_2': 'инвалидам Великой Отечественной войны и инвалидам боевых действий по защите Отечества;', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}, {'span_1': 'работникам, повышающим свою квалификацию по направлению работодателя без отрыва от работы;', 'span_2': 'работникам, повышающим свою квалификацию по направлению работодателя без отрыва от работы;', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}, {'span_1': 'родителю, имеющему ребенка в возрасте до восемнадцати лет, в случае, если другой родитель призван на военную службу по мобилизации', 'span_2': 'родителю, имеющему ребенка в возрасте до восемнадцати лет, в случае, если другой родитель призван на военную службу по мобилизации', 'reasoning': 'начальные части спанов идентичны', 'label': 'equivalent'}, {'span_1': 'или проходит военную службу по контракту, заключенному в соответствии с пунктом 7 статьи 38 Федерального закона от 28 марта 1998 года N 53-ФЗ ""О воинской обязанности и военной службе""', 'span_2': 'направлен на службу в войска национальной гвардии Российской Федерации по мобилизации или заключил контракт о прохождении военной службы в период мобилизации, в период военного положения или в военное время', 'reasoning': 'В первом параграфе упоминается служба по контракту в соответствии с конкретным закону, а второй включает службы в период мобилизации и другие дополнительные условия.', 'label': 'contradiction'}, {'span_1': 'либо заключил контракт о добровольном содействии в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации.', 'span_2': 'либо заключил контракт о добровольном содействии в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации.', 'reasoning': 'спаны идентичны', 'label': 'equivalent'}]"
