url,paragraph_1,paragraph_2,span_1,span_2,Label,Anchor_span,Unnamed: 7,Easy,subset,Checked
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"4.4. Постановка на учет организации в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета, осуществляется налоговым органом, в который направляется копия договора инвестиционного товарищества, в течение пяти дней со дня ее получения либо сообщения о выполнении функций управляющего товарища в соответствии со статьей 24.1 настоящего Кодекса, и в тот же срок организации выдается (направляется) уведомление о постановке на учет в налоговом органе в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета по договору инвестиционного товарищества.","4.4. Постановка на учет организации в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета, осуществляется налоговым органом, в который направляется копия договора инвестиционного товарищества, в течение пяти дней со дня ее получения либо сообщения о выполнении функций управляющего товарища в соответствии со статьей 24.1 настоящего Кодекса, и в тот же срок организации выдается (направляется) выписка из Единого государственного реестра налогоплательщиков, содержащая сведения о постановке на учет в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета по договору инвестиционного товарищества.
",и в тот же срок организации выдается (направляется) уведомление о постановке на учет в налоговом органе,"и в тот же срок организации выдается (направляется) выписка из Единого государственного реестра налогоплательщиков, содержащая сведения о постановке на учет",Contradiction,,,1.0,Налоговый кодекс,
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"4.8. Постановка на учет (снятие с учета) в налоговом органе российской организации в качестве налогового агента, указанного в пункте 7.1 статьи 226 настоящего Кодекса, осуществляется налоговыми органами на основании заявления, представляемого этой организацией в налоговый орган по месту своего нахождения в электронной форме по телекоммуникационным каналам связи либо через личный кабинет налогоплательщика, в течение пяти дней со дня получения такого заявления, и в тот же срок организации направляется уведомление о постановке на учет (снятии с учета) в соответствующем налоговом органе в качестве налогового агента.","4.8. Постановка на учет (снятие с учета) в налоговом органе российской организации в качестве налогового агента, указанного в пункте 7.1 статьи 226 настоящего Кодекса, осуществляется налоговыми органами на основании заявления, представляемого этой организацией в налоговый орган по месту своего нахождения в электронной форме по телекоммуникационным каналам связи либо через личный кабинет налогоплательщика, в течение пяти дней со дня получения такого заявления, и в тот же срок организации направляется выписка из Единого государственного реестра налогоплательщиков, содержащая сведения о постановке на учет (снятии с учета) в соответствующем налоговом органе в качестве налогового агента.",и в тот же срок организации направляется уведомление о постановке на учет,"и в тот же срок организации направляется выписка из Единого государственного реестра налогоплательщиков, содержащая сведения о постановке на учет",Contradiction,,,1.0,Налоговый кодекс,
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом и в тот же срок выдать ему свидетельство о постановке на учет в налоговом органе (если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет. В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи или с использованием единого портала государственных и муниципальных услуг в налоговый орган, налоговый орган осуществляет постановку на учет физического лица на основании такого заявления в течение пяти дней со дня получения от органов, указанных в пунктах 3 и 8 статьи 85 настоящего Кодекса, подтверждения содержащихся в этом заявлении сведений и в тот же срок выдает (направляет) физическому лицу свидетельство о постановке на учет в налоговом органе (если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет.","2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом и в тот же срок выдать (направить) ему выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе. В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи или с использованием единого портала государственных и муниципальных услуг в налоговый орган, налоговый орган осуществляет постановку на учет физического лица на основании такого заявления в течение пяти дней со дня получения от органов, указанных в пунктах 3 и 8 статьи 85 настоящего Кодекса, подтверждения содержащихся в этом заявлении сведений и в тот же срок выдает (направляет) физическому лицу выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе.",и в тот же срок выдать ему свидетельство о постановке на учет в налоговом органе,"и в тот же срок выдать (направить) ему выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе.",Contradiction,,,1.0,Налоговый кодекс,
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом и в тот же срок выдать ему свидетельство о постановке на учет в налоговом органе (если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет. В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи или с использованием единого портала государственных и муниципальных услуг в налоговый орган, налоговый орган осуществляет постановку на учет физического лица на основании такого заявления в течение пяти дней со дня получения от органов, указанных в пунктах 3 и 8 статьи 85 настоящего Кодекса, подтверждения содержащихся в этом заявлении сведений и в тот же срок выдает (направляет) физическому лицу свидетельство о постановке на учет в налоговом органе (если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет.","2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом и в тот же срок выдать (направить) ему выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе. В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи или с использованием единого портала государственных и муниципальных услуг в налоговый орган, налоговый орган осуществляет постановку на учет физического лица на основании такого заявления в течение пяти дней со дня получения от органов, указанных в пунктах 3 и 8 статьи 85 настоящего Кодекса, подтверждения содержащихся в этом заявлении сведений и в тот же срок выдает (направляет) физическому лицу выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе.",и в тот же срок выдает (направляет) физическому лицу свидетельство о постановке на учет в налоговом органе,"и в тот же срок выдает (направляет) физическому лицу выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе.",Contradiction,,,1.0,Налоговый кодекс,
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"Налоговый орган обязан осуществить постановку на учет российской организации по месту нахождения ее обособленного подразделения (за исключением филиала, представительства) в течение пяти дней со дня получения сообщения от этой организации в соответствии с пунктом 2 статьи 23 настоящего Кодекса, российской организации по месту нахождения ее филиала, представительства, иностранной некоммерческой неправительственной организации по месту осуществления ею деятельности на территории Российской Федерации через отделение на основании сведений, содержащихся в Едином государственном реестре юридических лиц, в течение пяти дней со дня внесения соответствующей записи в этот реестр, иностранной организации по месту осуществления ею деятельности на территории Российской Федерации через аккредитованные филиал, представительство на основании сведений, содержащихся в государственном реестре аккредитованных филиалов, представительств иностранных юридических лиц, в течение пяти дней со дня внесения соответствующей записи в этот реестр, через иное обособленное подразделение в течение пяти дней со дня получения от этой организации заявления о постановке на учет и всех необходимых документов и в тот же срок выдать (направить) российской организации, иностранной организации соответственно уведомление о постановке на учет в налоговом органе, свидетельство о постановке на учет в налоговом органе.","Налоговый орган обязан осуществить постановку на учет российской организации по месту нахождения ее обособленного подразделения (за исключением филиала, представительства) в течение пяти дней со дня получения сообщения от этой организации в соответствии с пунктом 2 статьи 23 настоящего Кодекса, российской организации по месту нахождения ее филиала, представительства, иностранной некоммерческой неправительственной организации по месту осуществления ею деятельности на территории Российской Федерации через отделение на основании сведений, содержащихся в Едином государственном реестре юридических лиц, в течение пяти дней со дня внесения соответствующей записи в этот реестр, иностранной организации по месту осуществления ею деятельности на территории Российской Федерации через аккредитованные филиал, представительство на основании сведений, содержащихся в государственном реестре аккредитованных филиалов, представительств иностранных юридических лиц, в течение пяти дней со дня внесения соответствующей записи в этот реестр, через иное обособленное подразделение в течение пяти дней со дня получения от этой организации заявления о постановке на учет и всех необходимых документов и в тот же срок выдать (направить) российской организации, иностранной организации выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о ее постановке на учет в налоговом органе.","иностранной организации соответственно уведомление о постановке на учет в налоговом органе, свидетельство о постановке на учет в налоговом органе.","иностранной организации выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о ее постановке на учет в налоговом органе.",Contradiction,,,1.0,Налоговый кодекс,
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"Налоговый орган обязан осуществить постановку на учет международной организации, иностранной некоммерческой неправительственной организации, иностранной религиозной организации по месту осуществления ими деятельности на территории Российской Федерации через филиалы, представительства в течение пяти дней со дня получения соответствующих сведений, сообщенных органом, указанным в пункте 9 статьи 85 настоящего Кодекса, и в тот же срок выдать (направить) такой организации свидетельство о постановке на учет в налоговом органе.","Налоговый орган обязан осуществить постановку на учет международной организации, иностранной некоммерческой неправительственной организации, иностранной религиозной организации по месту осуществления ими деятельности на территории Российской Федерации через филиалы, представительства в течение пяти дней со дня получения соответствующих сведений, сообщенных органом, указанным в пункте 9 статьи 85 настоящего Кодекса, и в тот же срок выдать (направить) такой организации выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о ее постановке на учет в налоговом органе.", и в тот же срок выдать (направить) такой организации свидетельство о постановке на учет в налоговом органе.,"и в тот же срок выдать (направить) такой организации выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о ее постановке на учет в налоговом органе.
",Contradiction,,,1.0,Налоговый кодекс,
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"Налоговый орган, осуществивший постановку на учет вновь созданной российской организации или индивидуального предпринимателя, обязан выдать (направить) российской организации свидетельство о постановке на учет в налоговом органе, индивидуальному предпринимателю - свидетельство о постановке на учет в налоговом органе (если ранее указанное свидетельство не выдавалось или не направлялось) и уведомление о постановке на учет в налоговом органе, подтверждающее постановку на учет в налоговом органе физического лица в качестве индивидуального предпринимателя.
","Налоговый орган, осуществивший постановку на учет вновь созданной российской организации или индивидуального предпринимателя, обязан выдать (направить) российской организации, индивидуальному предпринимателю выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе.
",и в тот же срок выдать (направить) такой организации свидетельство о постановке на учет в налоговом органе.,"и в тот же срок выдать (направить) такой организации выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о ее постановке на учет в налоговом органе.
",Contradiction,,,1.0,Налоговый кодекс,
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"Налоговый орган обязан осуществить постановку на учет иностранного лица, указанного в пунктах 4.6 и 4.10 статьи 83 настоящего Кодекса, в течение 30 дней со дня получения заявления о постановке на учет и иных необходимых документов и в тот же срок направить этому иностранному лицу уведомление о постановке на учет в налоговом органе по адресу электронной почты, указанному в заявлении о постановке на учет. В случае выявления налоговым органом недостоверных сведений, содержащихся в представленных иностранным лицом в налоговый орган заявлении о постановке на учет и (или) иных документах, постановка на учет в налоговом органе не осуществляется. При этом налоговый орган информирует такое лицо о данном факте. В этом случае постановка на учет иностранного лица осуществляется в течение 30 дней со дня получения налоговым органом заявления о постановке на учет и иных необходимых документов, содержащих достоверные сведения.","Налоговый орган обязан осуществить постановку на учет иностранного лица, указанного в пунктах 4.6 и 4.10 статьи 83 настоящего Кодекса, в течение 30 дней со дня получения заявления о постановке на учет и иных необходимых документов и в тот же срок направить этому иностранному лицу выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе, по адресу электронной почты, указанному в заявлении о постановке на учет. В случае выявления налоговым органом недостоверных сведений, содержащихся в представленных иностранным лицом в налоговый орган заявлении о постановке на учет и (или) иных документах, постановка на учет в налоговом органе не осуществляется. При этом налоговый орган информирует такое лицо о данном факте. В этом случае постановка на учет иностранного лица осуществляется в течение 30 дней со дня получения налоговым органом заявления о постановке на учет и иных необходимых документов, содержащих достоверные сведения.",и в тот же срок направить этому иностранному лицу уведомление о постановке на учет в налоговом органе,"и в тот же срок направить этому иностранному лицу выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе",Contradiction,,,1.0,Налоговый кодекс,
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"При постановке на учет (снятии с учета) физического лица на основании пункта 7.3 статьи 83 настоящего Кодекса либо на основании сведений, содержащихся в Едином государственном реестре записей актов гражданского состояния, уведомление о постановке на учет (снятии с учета) в налоговом органе не выдается (не направляется).","При постановке на учет (снятии с учета) физического лица на основании пункта 7.3 статьи 83 настоящего Кодекса либо на основании сведений, содержащихся в Едином государственном реестре записей актов гражданского состояния, выписка из Единого государственного реестра налогоплательщиков, содержащая сведения о постановке на учет (снятии с учета) в налоговом органе, не выдается (не направляется).",уведомление о постановке на учет (снятии с учета) в налоговом органе не выдается (не направляется),"выписка из Единого государственного реестра налогоплательщиков, содержащая сведения о постановке на учет (снятии с учета) в налоговом органе, не выдается (не направляется).",Contradiction,,,1.0,Налоговый кодекс,
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"Налоговый орган обязан осуществить постановку на учет иностранной организации по основанию, предусмотренному пунктом 4.9 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения от такой организации заявления о постановке на учет и документов, необходимых для постановки на учет в налоговом органе, или со дня получения от российского банка, в котором такой организации открывается счет, заявления о постановке на учет такой организации и в тот же срок выдать (направить) свидетельство о постановке на учет в налоговом органе такой организации или в электронной форме российскому банку, в котором такой организации открывается счет, для передачи такой организации.","Налоговый орган обязан осуществить постановку на учет иностранной организации по основанию, предусмотренному пунктом 4.9 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения от такой организации заявления о постановке на учет и документов, необходимых для постановки на учет в налоговом органе, или со дня получения от российского банка, в котором такой организации открывается счет, заявления о постановке на учет такой организации и в тот же срок выдать (направить) выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе, такой организации или в электронной форме российскому банку, в котором такой организации открывается счет, для передачи такой организации.",и в тот же срок выдать (направить) свидетельство о постановке на учет в налоговом органе,"и в тот же срок выдать (направить) выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на у",Contradiction,,,1.0,Налоговый кодекс,
