url,paragraph_1,paragraph_2,subset,span_1,span_2,Label,Anchor_span,total,paraphrased,paraphrased_paragraph_1,paraphrased_output,output
https://www.consultant.ru/cons/cgi/online.cgi?from=482692-0&req=doc&base=LAW&n=471848&diff=482692&rnd=9DvCOA#1PCsvoU2J2vc171k,"4) по иску государственного органа или органа местного самоуправления, которым право на предъявление требования о ликвидации юридического лица предоставлено законом, в случае систематического осуществления общественной организацией, общественным движением, благотворительным и иным фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций;","4) по иску государственного органа или органа местного самоуправления, которым право на предъявление требования о ликвидации юридического лица предоставлено законом, в случае систематического осуществления общественной организацией, общественным движением, общественно полезным фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций;",Гражданский кодекс,"['4) по иску государственного органа или органа местного самоуправления, которым право на предъявление требования о ликвидации юридического лица предоставлено законом,', 'в случае систематического осуществления общественной организацией, общественным движением, благотворительным и иным фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций;']","['4) по иску государственного органа или органа местного самоуправления, которым право на предъявление требования о ликвидации юридического лица предоставлено законом,', 'в случае систематического осуществления общественной организацией, общественным движением, общественно полезным фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций;']","['Equivalent', 'Contradiction']",[''],"[{'span_1': '4) по иску государственного органа или органа местного самоуправления, которым право на предъявление требования о ликвидации юридического лица предоставлено законом,', 'span_2': '4) по иску государственного органа или органа местного самоуправления, которым право на предъявление требования о ликвидации юридического лица предоставлено законом,', 'label': 'Equivalent', 'anchor': ['']}, {'span_1': 'в случае систематического осуществления общественной организацией, общественным движением, благотворительным и иным фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций;', 'span_2': 'в случае систематического осуществления общественной организацией, общественным движением, общественно полезным фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций;', 'label': 'Contradiction', 'anchor': ['']}]","[""4) по иску государственного или местного органа власти, которому закон предоставляет право требовать ликвидации юридического лица,"", ""в случае систематического осуществления общественной организацией, общественным движением, благотворительным и иным фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций;""]","4) по иску государственного или местного органа власти, которому закон предоставляет право требовать ликвидации юридического лица, в случае систематического осуществления общественной организацией, общественным движением, благотворительным и иным фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций;","[{'span_1': '4) по иску государственного или местного органа власти, которому закон предоставляет право требовать ликвидации юридического лица,', 'span_2': '4) по иску государственного органа или органа местного самоуправления, которым право на предъявление требования о ликвидации юридического лица предоставлено законом,', 'label': 'Equivalent'}, {'span_1': 'в случае систематического осуществления общественной организацией, общественным движением, благотворительным и иным фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций;', 'span_2': 'в случае систематического осуществления общественной организацией, общественным движением, общественно полезным фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций;', 'label': 'Contradiction'}]","[{'span_1': '4) по иску государственного или местного органа власти, которому закон предоставляет право требовать ликвидации юридического лица,', 'span_2': '4) по иску государственного органа или органа местного самоуправления, которым право на предъявление требования о ликвидации юридического лица предоставлено законом,', 'label': 'equivalent'}, {'span_1': ' в случае систематического осуществления общественной организацией, общественным движением, благотворительным и иным фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций;', 'span_2': ' в случае систематического осуществления общественной организацией, общественным движением, общественно полезным фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций;', 'label': 'contradiction'}]"
https://www.consultant.ru/cons/cgi/online.cgi?from=482692-0&req=doc&base=LAW&n=471848&diff=482692&rnd=9DvCOA#1PCsvoU2J2vc171k,"Имущество, передаваемое личному фонду его учредителем, принадлежит личному фонду на праве собственности. Учредитель личного фонда не имеет прав на имущество созданного им фонда Безвозмездная передача иными лицами имущества в личный фонд не допускается.",Имущество личного фонда принадлежит личному фонду на праве собственности. Учредитель личного фонда не имеет прав на имущество созданного им фонда,Гражданский кодекс,"['Имущество, передаваемое личному фонду его учредителем, принадлежит личному фонду на праве собственности.', 'Учредитель личного фонда не имеет прав на имущество созданного им фонда', 'Безвозмездная передача иными лицами имущества в личный фонд не допускается.']","['Имущество личного фонда принадлежит личному фонду на праве собственности.', 'Учредитель личного фонда не имеет прав на имущество созданного им фонда', '']","['Contradiction', 'Equivalent', 'Addition']","['', 'Имущество, передаваемое личному фонду его учредителем,']","[{'span_1': 'Имущество, передаваемое личному фонду его учредителем, принадлежит личному фонду на праве собственности.', 'span_2': 'Имущество личного фонда принадлежит личному фонду на праве собственности.', 'label': 'Contradiction', 'anchor': ['']}, {'span_1': 'Учредитель личного фонда не имеет прав на имущество созданного им фонда', 'span_2': 'Учредитель личного фонда не имеет прав на имущество созданного им фонда', 'label': 'Equivalent', 'anchor': ['']}, {'span_1': 'Безвозмездная передача иными лицами имущества в личный фонд не допускается.', 'span_2': '', 'label': 'Addition', 'anchor': ['']}]","[""Имущество, передаваемое личному фонду его учредителем, принадлежит личному фонду на праве собственности."", ""Учредитель личного фонда теряет право на имущество, которое он передал в созданный им фонд"", ""Безвозмездная передача иными лицами имущества в личный фонд не допускается.""]","Имущество, передаваемое личному фонду его учредителем, принадлежит личному фонду на праве собственности. Учредитель личного фонда теряет право на имущество, которое он передал в созданный им фонд Безвозмездная передача иными лицами имущества в личный фонд не допускается.","[{'span_1': 'Имущество, передаваемое личному фонду его учредителем, принадлежит личному фонду на праве собственности.', 'span_2': 'Имущество личного фонда принадлежит личному фонду на праве собственности.', 'label': 'Contradiction'}, {'span_1': 'Учредитель личного фонда теряет право на имущество, которое он передал в созданный им фонд', 'span_2': 'Учредитель личного фонда не имеет прав на имущество созданного им фонда', 'label': 'Equivalent'}, {'span_1': 'Безвозмездная передача иными лицами имущества в личный фонд не допускается.', 'span_2': '', 'label': 'Addition', 'anchor': ['']}]","[{'span_1': 'Имущество, передаваемое личному фонду его учредителем, принадлежит личному фонду на праве собственности. Учредитель личного фонда теряет право на имущество, которое он передал в созданный им фонд', 'span_2': 'Имущество личного фонда принадлежит личному фонду на праве собственности. Учредитель личного фонда не имеет прав на имущество созданного им фонда', 'label': 'equivalent'}]"
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом и в тот же срок выдать ему свидетельство о постановке на учет в налоговом органе (если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи или с использованием единого портала государственных и муниципальных услуг в налоговый орган, налоговый орган осуществляет постановку на учет физического лица на основании такого заявления в течение пяти дней со дня получения от органов, указанных в пунктах 3 и 8 статьи 85 настоящего Кодекса, подтверждения содержащихся в этом заявлении сведений и в тот же срок выдает (направляет) физическому лицу свидетельство о постановке на учет в налоговом органе (если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет","2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом и в тот же срок выдать (направить) ему выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе. В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи или с использованием единого портала государственных и муниципальных услуг в налоговый орган, налоговый орган осуществляет постановку на учет физического лица на основании такого заявления в течение пяти дней со дня получения от органов, указанных в пунктах 3 и 8 статьи 85 настоящего Кодекса, подтверждения содержащихся в этом заявлении сведений и в тот же срок выдает (направляет) физическому лицу выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе.",Налоговый кодекс,"['2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом', 'и в тот же срок выдать ему свидетельство о постановке на учет в налоговом органе', '(если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет', 'В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи или с использованием единого портала государственных и муниципальных услуг в налоговый орган, налоговый орган осуществляет постановку на учет физического лица на основании такого заявления в течение пяти дней со дня получения от органов, указанных в пунктах 3 и 8 статьи 85 настоящего Кодекса, подтверждения содержащихся в этом заявлении сведений', 'и в тот же срок выдает (направляет) физическому лицу свидетельство о постановке на учет в налоговом органе', '(если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет']","['2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом', 'и в тот же срок выдать (направить) ему выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе.', '', 'В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи или с использованием единого портала государственных и муниципальных услуг в налоговый орган, налоговый орган осуществляет постановку на учет физического лица на основании такого заявления в течение пяти дней со дня получения от органов, указанных в пунктах 3 и 8 статьи 85 настоящего Кодекса, подтверждения содержащихся в этом заявлении сведений', 'и в тот же срок выдает (направляет) физическому лицу выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе.', '']","['Equivalent', 'Contradiction', 'Addition', 'Equivalent', 'Contradiction', 'Addition']","['', '', 'и в тот же срок выдать ему свидетельство о постановке на учет в налоговом органе', 'и в тот же срок выдает (направляет) физическому лицу свидетельство о постановке на учет в налоговом органе']","[{'span_1': '2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом', 'span_2': '2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом', 'label': 'Equivalent', 'anchor': ['']}, {'span_1': 'и в тот же срок выдать ему свидетельство о постановке на учет в налоговом органе', 'span_2': 'и в тот же срок выдать (направить) ему выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе.', 'label': 'Contradiction', 'anchor': ['']}, {'span_1': '(если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет', 'span_2': '', 'label': 'Addition', 'anchor': ['']}, {'span_1': 'В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи или с использованием единого портала государственных и муниципальных услуг в налоговый орган, налоговый орган осуществляет постановку на учет физического лица на основании такого заявления в течение пяти дней со дня получения от органов, указанных в пунктах 3 и 8 статьи 85 настоящего Кодекса, подтверждения содержащихся в этом заявлении сведений', 'span_2': 'В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи или с использованием единого портала государственных и муниципальных услуг в налоговый орган, налоговый орган осуществляет постановку на учет физического лица на основании такого заявления в течение пяти дней со дня получения от органов, указанных в пунктах 3 и 8 статьи 85 настоящего Кодекса, подтверждения содержащихся в этом заявлении сведений', 'label': 'Equivalent', 'anchor': ['']}, {'span_1': 'и в тот же срок выдает (направляет) физическому лицу свидетельство о постановке на учет в налоговом органе', 'span_2': 'и в тот же срок выдает (направляет) физическому лицу выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе.', 'label': 'Contradiction', 'anchor': ['']}, {'span_1': '(если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет', 'span_2': '', 'label': 'Addition', 'anchor': ['']}]","[""2. Налоговая служба обязана поставить физическое лицо на учет, исходя из его заявления, поданного согласно пунктам 6, 7 или 7.2 статьи 83 данного Кодекса, в течение пяти дней с даты приема заявления налоговым органом"", ""и в тот же срок выдать ему свидетельство о постановке на учет в налоговом органе"", ""(если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет"", ""В случае, если заявление физического лица отправлено по почте заказным письмом или электронными средствами связи через канал связи или портал государственных услуг, налоговая служба осуществляет учет физического лица по такому заявлению в течение пяти дней с момента получения подтверждения данных из заявления от органов, указанных в пунктах 3 и 8 статьи 85 этого Кодекса"", ""и в тот же срок выдает (направляет) физическому лицу свидетельство о постановке на учет в налоговом органе"", ""(если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет""]","2. Налоговая служба обязана поставить физическое лицо на учет, исходя из его заявления, поданного согласно пунктам 6, 7 или 7.2 статьи 83 данного Кодекса, в течение пяти дней с даты приема заявления налоговым органом и в тот же срок выдать ему свидетельство о постановке на учет в налоговом органе (если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет В случае, если заявление физического лица отправлено по почте заказным письмом или электронными средствами связи через канал связи или портал государственных услуг, налоговая служба осуществляет учет физического лица по такому заявлению в течение пяти дней с момента получения подтверждения данных из заявления от органов, указанных в пунктах 3 и 8 статьи 85 этого Кодекса и в тот же срок выдает (направляет) физическому лицу свидетельство о постановке на учет в налоговом органе (если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет","[{'span_1': '2. Налоговая служба обязана поставить физическое лицо на учет, исходя из его заявления, поданного согласно пунктам 6, 7 или 7.2 статьи 83 данного Кодекса, в течение пяти дней с даты приема заявления налоговым органом', 'span_2': '2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом', 'label': 'Equivalent'}, {'span_1': 'и в тот же срок выдать ему свидетельство о постановке на учет в налоговом органе', 'span_2': 'и в тот же срок выдать (направить) ему выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе.', 'label': 'Contradiction'}, {'span_1': '(если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет', 'span_2': '', 'label': 'Addition', 'anchor': ['']}, {'span_1': 'В случае, если заявление физического лица отправлено по почте заказным письмом или электронными средствами связи через канал связи или портал государственных услуг, налоговая служба осуществляет учет физического лица по такому заявлению в течение пяти дней с момента получения подтверждения данных из заявления от органов, указанных в пунктах 3 и 8 статьи 85 этого Кодекса', 'span_2': 'В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи или с использованием единого портала государственных и муниципальных услуг в налоговый орган, налоговый орган осуществляет постановку на учет физического лица на основании такого заявления в течение пяти дней со дня получения от органов, указанных в пунктах 3 и 8 статьи 85 настоящего Кодекса, подтверждения содержащихся в этом заявлении сведений', 'label': 'Equivalent'}, {'span_1': 'и в тот же срок выдает (направляет) физическому лицу свидетельство о постановке на учет в налоговом органе', 'span_2': 'и в тот же срок выдает (направляет) физическому лицу выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе.', 'label': 'Contradiction'}, {'span_1': '(если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет', 'span_2': '', 'label': 'Addition', 'anchor': ['']}]","[{'span_1': '2. Налоговая служба обязана поставить физическое лицо на учет, исходя из его заявления, поданного согласно пунктам 6, 7 или 7.2 статьи 83 данного Кодекса, в течение пяти дней с даты приема заявления налоговым органом и в тот же срок выдать ему свидетельство о постановке на учет в налоговом органе (если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет В случае, если заявление физического лица отправлено по почте заказным письмом или электронными средствами связи через канал связи или портал государственных услуг, налоговая служба осуществляет учет физического лица по такому заявлению в течение пяти дней с момента получения подтверждения данных из заявления от органов, указанных в пунктах 3 и 8 статьи 85 этого Кодекса и в тот же срок выдает (направляет) физическому лицу свидетельство о постановке на учет в налоговом органе (если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет', 'span_2': '2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом и в тот же срок выдать (направить) ему выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе. В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи', 'label': 'equivalent'}]"
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"2.1. Налоговый орган обязан осуществить постановку на учет иностранного гражданина, лица без гражданства, указанных в пункте 7.4 статьи 83 настоящего Кодекса, на основании сведений, представленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (индивидуальным предпринимателем), являющейся источником выплаты дохода таким иностранному гражданину, лицу без гражданства, по месту нахождения организации (месту жительства индивидуального предпринимателя) в течение пятнадцати дней со дня получения указанных сведений и в тот же срок выдать (направить) указанной организации (индивидуальному предпринимателю) уведомление о постановке на учет в налоговом органе таких иностранного гражданина, лица без гражданства.","2.1. Налоговый орган обязан осуществить постановку на учет иностранного гражданина, лица без гражданства, указанных в пункте 7.4 статьи 83 настоящего Кодекса, на основании сведений, представленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (индивидуальным предпринимателем), являющейся источником выплаты дохода таким иностранному гражданину, лицу без гражданства, по месту нахождения организации (месту жительства индивидуального предпринимателя) в течение пятнадцати дней со дня получения указанных сведений и в тот же срок выдать (направить) указанной организации (индивидуальному предпринимателю) выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке таких иностранного гражданина, лица без гражданства на учет в налоговом органе.",Налоговый кодекс,"['2.1. Налоговый орган обязан осуществить постановку на учет иностранного гражданина, лица без гражданства, указанных в пункте 7.4 статьи 83 настоящего Кодекса, на основании сведений, представленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (индивидуальным предпринимателем), являющейся источником выплаты дохода таким иностранному гражданину, лицу без гражданства, по месту нахождения организации (месту жительства индивидуального предпринимателя) в течение пятнадцати дней со дня получения указанных сведений', 'и в тот же срок выдать (направить) указанной организации (индивидуальному предпринимателю) уведомление о постановке на учет в налоговом органе таких иностранного гражданина, лица без гражданства.']","['2.1. Налоговый орган обязан осуществить постановку на учет иностранного гражданина, лица без гражданства, указанных в пункте 7.4 статьи 83 настоящего Кодекса, на основании сведений, представленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (индивидуальным предпринимателем), являющейся источником выплаты дохода таким иностранному гражданину, лицу без гражданства, по месту нахождения организации (месту жительства индивидуального предпринимателя) в течение пятнадцати дней со дня получения указанных сведений', 'и в тот же срок выдать (направить) указанной организации (индивидуальному предпринимателю) выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке таких иностранного гражданина, лица без гражданства на учет в налоговом органе.']","['Equivalent', 'Contradiction']",[''],"[{'span_1': '2.1. Налоговый орган обязан осуществить постановку на учет иностранного гражданина, лица без гражданства, указанных в пункте 7.4 статьи 83 настоящего Кодекса, на основании сведений, представленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (индивидуальным предпринимателем), являющейся источником выплаты дохода таким иностранному гражданину, лицу без гражданства, по месту нахождения организации (месту жительства индивидуального предпринимателя) в течение пятнадцати дней со дня получения указанных сведений', 'span_2': '2.1. Налоговый орган обязан осуществить постановку на учет иностранного гражданина, лица без гражданства, указанных в пункте 7.4 статьи 83 настоящего Кодекса, на основании сведений, представленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (индивидуальным предпринимателем), являющейся источником выплаты дохода таким иностранному гражданину, лицу без гражданства, по месту нахождения организации (месту жительства индивидуального предпринимателя) в течение пятнадцати дней со дня получения указанных сведений', 'label': 'Equivalent', 'anchor': ['']}, {'span_1': 'и в тот же срок выдать (направить) указанной организации (индивидуальному предпринимателю) уведомление о постановке на учет в налоговом органе таких иностранного гражданина, лица без гражданства.', 'span_2': 'и в тот же срок выдать (направить) указанной организации (индивидуальному предпринимателю) выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке таких иностранного гражданина, лица без гражданства на учет в налоговом органе.', 'label': 'Contradiction', 'anchor': ['']}]","[""2.1. Налоговый орган обязан зарегистрировать иностранного гражданина или лицо без гражданства, упомянутых в пункте 7.4 статьи 83 настоящего Кодекса, на основе данных, предоставленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (или индивидуальным предпринимателем), являющейся источником выплаты дохода этому иностранному гражданину или лицу без гражданства, по месту расположения организации (или месту жительства индивидуального предпринимателя) в течение пятнадцати дней с момента получения указанных данных"", ""и в тот же срок выдать (направить) указанной организации (индивидуальному предпринимателю) уведомление о постановке на учет в налоговом органе таких иностранного гражданина, лица без гражданства.""]","2.1. Налоговый орган обязан зарегистрировать иностранного гражданина или лицо без гражданства, упомянутых в пункте 7.4 статьи 83 настоящего Кодекса, на основе данных, предоставленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (или индивидуальным предпринимателем), являющейся источником выплаты дохода этому иностранному гражданину или лицу без гражданства, по месту расположения организации (или месту жительства индивидуального предпринимателя) в течение пятнадцати дней с момента получения указанных данных и в тот же срок выдать (направить) указанной организации (индивидуальному предпринимателю) уведомление о постановке на учет в налоговом органе таких иностранного гражданина, лица без гражданства.","[{'span_1': '2.1. Налоговый орган обязан зарегистрировать иностранного гражданина или лицо без гражданства, упомянутых в пункте 7.4 статьи 83 настоящего Кодекса, на основе данных, предоставленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (или индивидуальным предпринимателем), являющейся источником выплаты дохода этому иностранному гражданину или лицу без гражданства, по месту расположения организации (или месту жительства индивидуального предпринимателя) в течение пятнадцати дней с момента получения указанных данных', 'span_2': '2.1. Налоговый орган обязан осуществить постановку на учет иностранного гражданина, лица без гражданства, указанных в пункте 7.4 статьи 83 настоящего Кодекса, на основании сведений, представленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (индивидуальным предпринимателем), являющейся источником выплаты дохода таким иностранному гражданину, лицу без гражданства, по месту нахождения организации (месту жительства индивидуального предпринимателя) в течение пятнадцати дней со дня получения указанных сведений', 'label': 'Equivalent'}, {'span_1': 'и в тот же срок выдать (направить) указанной организации (индивидуальному предпринимателю) уведомление о постановке на учет в налоговом органе таких иностранного гражданина, лица без гражданства.', 'span_2': 'и в тот же срок выдать (направить) указанной организации (индивидуальному предпринимателю) выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке таких иностранного гражданина, лица без гражданства на учет в налоговом органе.', 'label': 'Contradiction'}]","[{'span_1': ' гражданства, упомянутых в пункте 7.4 статьи 83 настоящего Кодекса, на основе данных, предоставленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (или индивидуальным предпринимателем), являющейся источником выплаты дохода этому иностранному гражданину или лицу без гражданства, по месту расположения организации (или месту жительства индивидуального предпринимателя) в течение пятнадцати дней с момента получения указанных данных и в тот же срок выдать (направить)', 'span_2': 'ть постановку на учет иностранного гражданина, лица без гражданства, указанных в пункте 7.4 статьи 83 настоящего Кодекса, на основании сведений, представленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (индивидуальным предпринимателем), являющейся источником выплаты дохода таким иностранному гражданину, лицу без гражданства, по месту нахождения организации (месту жительства индивидуального предпринимателя) в течение пятнадцати дней со дня получения указанных сведений', 'label': 'equivalent'}, {'span_1': ' о постановке на учет в налоговом органе таких иностранного гражданина, лица без гражданства.', 'span_2': ' сведения о постановке таких иностранного гражданина, лица без гражданства на учет в налоговом органе.', 'label': 'equivalent'}, {'span_1': '2.1. Налоговый орган обязан зарегистрировать иностранного гражданина или лицо без', 'span_2': '2.1. Налоговый орган обязан осуществи', 'label': 'contradiction'}, {'span_1': ' указанной организации (индивидуальному предпринимателю) уведомление', 'span_2': ' и в тот же срок выдать (направить) указанной организации (индивидуальному предпринимателю) выписку из Единого государственного реестра налогоплательщиков, содержащую', 'label': 'contradiction'}]"
